FECHA;Ingresos recaudados por SUNAT - tributos aduaneros según departamento - Amazonas (millones de soles);Ingresos recaudados por SUNAT - tributos aduaneros según departamento - Ancash (millones de soles);Ingresos recaudados por SUNAT - tributos aduaneros según departamento - Apurimac (millones de soles);Ingresos recaudados por SUNAT - tributos aduaneros según departamento - Arequipa (millones de soles);Ingresos recaudados por SUNAT - tributos aduaneros según departamento - Ayacucho (millones de soles);Ingresos recaudados por SUNAT - tributos aduaneros según departamento - Cajamarca (millones de soles);Ingresos recaudados por SUNAT - tributos aduaneros según departamento - Cusco (millones de soles);Ingresos recaudados por SUNAT - tributos aduaneros según departamento - Huancavelica (millones de soles);Ingresos recaudados por SUNAT - tributos aduaneros según departamento - Huánuco (millones de soles);Ingresos recaudados por SUNAT - tributos aduaneros según departamento - Ica (millones de soles);Ingresos recaudados por SUNAT - tributos aduaneros según departamento - Junín (millones de soles);Ingresos recaudados por SUNAT - tributos aduaneros según departamento - La Libertad (millones de soles);Ingresos recaudados por SUNAT - tributos aduaneros según departamento - Lambayeque (millones de soles);Ingresos recaudados por SUNAT - tributos aduaneros según departamento - Lima y Callao (millones de soles);Ingresos recaudados por SUNAT - tributos aduaneros según departamento - Loreto (millones de soles);Ingresos recaudados por SUNAT - tributos aduaneros según departamento - Madre de Dios (millones de soles);Ingresos recaudados por SUNAT - tributos aduaneros según departamento - Moquegua (millones de soles);Ingresos recaudados por SUNAT - tributos aduaneros según departamento - Pasco (millones de soles);Ingresos recaudados por SUNAT - tributos aduaneros según departamento - Piura (millones de soles);Ingresos recaudados por SUNAT - tributos aduaneros según departamento - Puno (millones de soles);Ingresos recaudados por SUNAT - tributos aduaneros según departamento - San Martín (millones de soles);Ingresos recaudados por SUNAT - tributos aduaneros según departamento - Tacna (millones de soles);Ingresos recaudados por SUNAT - tributos aduaneros según departamento - Tumbes (millones de soles);Ingresos recaudados por SUNAT - tributos aduaneros según departamento - Ucayali (millones de soles);Ingresos recaudados por SUNAT - tributos aduaneros según departamento - Total (millones de soles)
1/01/1994;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
1/02/1994;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
1/03/1994;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
1/04/1994;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
1/05/1994;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
1/06/1994;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
1/07/1994;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
1/08/1994;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
1/09/1994;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
1/10/1994;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
