;Ingresos tributarios recaudados por SUNAT - tributos internos según departamento - Amazonas (millones de soles);Ingresos tributarios recaudados por SUNAT - tributos internos según departamento - Ancash (millones de soles);Ingresos tributarios recaudados por SUNAT - tributos internos según departamento - Apurimac (millones de soles);Ingresos tributarios recaudados por SUNAT - tributos internos según departamento - Arequipa (millones de soles);Ingresos tributarios recaudados por SUNAT - tributos internos según departamento - Ayacucho (millones de soles);Ingresos tributarios recaudados por SUNAT - tributos internos según departamento - Cajamarca (millones de soles);Ingresos tributarios recaudados por SUNAT - tributos internos según departamento - Callao (millones de soles);Ingresos tributarios recaudados por SUNAT - tributos internos según departamento - Cusco (millones de soles);Ingresos tributarios recaudados por SUNAT - tributos internos según departamento - Huancavelica (millones de soles);Ingresos tributarios recaudados por SUNAT - tributos internos según departamento - Huánuco (millones de soles);Ingresos tributarios recaudados por SUNAT - tributos internos según departamento - Ica (millones de soles);Ingresos tributarios recaudados por SUNAT - tributos internos según departamento - Junín (millones de soles);Ingresos tributarios recaudados por SUNAT - tributos internos según departamento - La Libertad (millones de soles);Ingresos tributarios recaudados por SUNAT - tributos internos según departamento - Lambayeque (millones de soles);Ingresos tributarios recaudados por SUNAT - tributos internos según departamento - Lima Metropolitana (millones de soles);Ingresos tributarios recaudados por SUNAT - tributos internos según departamento - Lima provincias (millones de soles);Ingresos tributarios recaudados por SUNAT - tributos internos según departamento - Loreto (millones de soles);Ingresos tributarios recaudados por SUNAT - tributos internos según departamento - Madre de Dios (millones de soles);Ingresos tributarios recaudados por SUNAT - tributos internos según departamento - Moquegua (millones de soles);Ingresos tributarios recaudados por SUNAT - tributos internos según departamento - Pasco (millones de soles);Ingresos tributarios recaudados por SUNAT - tributos internos según departamento - Piura (millones de soles);Ingresos tributarios recaudados por SUNAT - tributos internos según departamento - Puno (millones de soles);Ingresos tributarios recaudados por SUNAT - tributos internos según departamento - San Martín (millones de soles);Ingresos tributarios recaudados por SUNAT - tributos internos según departamento - Tacna (millones de soles);Ingresos tributarios recaudados por SUNAT - tributos internos según departamento - Tumbes (millones de soles);Ingresos tributarios recaudados por SUNAT - tributos internos según departamento - Ucayali (millones de soles);Ingresos tributarios recaudados por SUNAT - tributos internos según departamento - Total (millones de soles)
1/01/1994;0.048656;2.962619;0.035916;33.239988;0.17145;1.086572;7.416201;2.193534;0.094765;0.385272;6.01672;2.751234;13.240259;10.218999;563.175193;2.540564;2.752564;0.079161;0.88481;0.308986;5.917001;0.55521;0.543108;2.2059;0.246804;1.23845;660.309936
1/02/1994;0.087547;4.190753;0.047726;18.917806;0.232118;1.064957;6.769606;2.478616;0.107448;0.420047;4.961562;1.911322;11.945052;6.480308;488.767353;2.576452;2.962143;0.090383;0.739492;0.213663;6.098867;0.636933;0.664531;4.462069;0.271407;0.977892;568.076053
1/03/1994;0.098144;5.105156;0.073677;23.818429;0.253923;1.04429;5.951771;2.855011;0.119258;0.502035;4.858141;4.275514;17.740585;11.304614;493.591844;2.783109;3.146581;0.082572;0.879827;0.236901;5.559342;0.93526;0.594497;6.424263;0.423324;1.309621;593.967689
1/04/1994;0.160192;6.721122;0.114128;30.435338;0.404286;2.375888;11.187499;4.150454;0.139599;0.827875;6.976137;4.036898;17.922331;9.516237;708.574742;3.844435;4.950247;0.127974;2.034773;0.324505;8.267456;1.16034;0.950075;5.919131;0.671608;1.245039;833.038309
1/05/1994;0.147265;5.45884;0.088017;30.655565;0.316707;1.217799;6.71074;3.09573;0.148488;0.541809;8.12548;4.030154;16.253184;8.128194;521.420977;3.489206;2.128704;0.086663;0.894403;0.293033;6.781915;1.001981;0.806044;3.647755;0.27599;0.982206;626.726849
1/06/1994;0.152043;4.965068;0.119888;24.819243;0.319696;1.425;7.180813;2.828718;0.157642;0.540956;5.769814;4.047568;14.264339;9.03109;500.555825;3.784951;2.66806;0.134801;1.04007;0.32204;6.631731;0.828132;1.048053;4.648941;0.322177;0.983204;598.589863
1/07/1994;0.146618;5.425873;0.123238;28.733865;0.444976;1.695877;6.871071;3.99631;0.151135;0.538045;6.454171;4.172809;18.794232;9.568835;510.798904;3.675949;2.308051;0.10631;0.75692;0.379977;6.650165;1.004149;0.645647;4.575058;0.300705;1.018205;619.337095
1/08/1994;0.135708;4.674585;0.142089;34.802753;0.436737;1.507709;6.984583;4.598653;0.19519;0.553384;6.560566;6.04449;20.529824;12.490856;633.206499;3.761931;2.348956;0.111458;1.008125;0.430801;7.544983;1.329966;0.820997;7.033617;0.374785;1.307389;758.936634
1/09/1994;0.154111;6.218355;0.131207;31.644749;0.452094;1.755347;6.796041;4.468265;0.213227;0.535372;7.438356;6.154949;17.830861;11.196807;592.580921;3.766383;3.097594;0.201548;1.472507;0.333523;8.258282;1.732043;0.820244;5.729757;0.492652;1.50297;714.978165
1/10/1994;0.15817;5.77092;0.144158;35.867836;0.498047;1.739594;7.110295;4.5473;0.17916;0.623894;6.999189;5.978445;19.806339;11.100249;598.013807;3.111613;2.822885;0.178365;1.147062;0.387738;10.33272;1.870313;0.844464;4.537052;0.553405;1.880399;726.203419
