;Ingresos tributarios recaudados por SUNAT - Impuesto General a las Ventas interno según departamento - Amazonas (millones de soles);Ingresos tributarios recaudados por SUNAT - Impuesto General a las Ventas interno según departamento - Ancash (millones de soles);Ingresos tributarios recaudados por SUNAT - Impuesto General a las Ventas interno según departamento - Apurimac (millones de soles);Ingresos tributarios recaudados por SUNAT - Impuesto General a las Ventas interno según departamento - Arequipa (millones de soles);Ingresos tributarios recaudados por SUNAT - Impuesto General a las Ventas interno según departamento - Ayacucho (millones de soles);Ingresos tributarios recaudados por SUNAT - Impuesto General a las Ventas interno según departamento - Cajamarca (millones de soles);Ingresos tributarios recaudados por SUNAT - Impuesto General a las Ventas interno según departamento - Callao (millones de soles);Ingresos tributarios recaudados por SUNAT - Impuesto General a las Ventas interno según departamento - Cusco (millones de soles);Ingresos tributarios recaudados por SUNAT - Impuesto General a las Ventas interno según departamento - Huancavelica (millones de soles);Ingresos tributarios recaudados por SUNAT - Impuesto General a las Ventas interno según departamento - Huánuco (millones de soles);Ingresos tributarios recaudados por SUNAT - Impuesto General a las Ventas interno según departamento - Ica (millones de soles);Ingresos tributarios recaudados por SUNAT - Impuesto General a las Ventas interno según departamento - Junín (millones de soles);Ingresos tributarios recaudados por SUNAT - Impuesto General a las Ventas interno según departamento - La Libertad (millones de soles);Ingresos tributarios recaudados por SUNAT - Impuesto General a las Ventas interno según departamento - Lambayeque (millones de soles);Ingresos tributarios recaudados por SUNAT - Impuesto General a las Ventas interno según departamento - Lima Metropolitana (millones de soles);Ingresos tributarios recaudados por SUNAT - Impuesto General a las Ventas interno según departamento - Lima provincias (millones de soles);Ingresos tributarios recaudados por SUNAT - Impuesto General a las Ventas interno según departamento - Loreto (millones de soles);Ingresos tributarios recaudados por SUNAT - Impuesto General a las Ventas interno según departamento - Madre de Dios (millones de soles);Ingresos tributarios recaudados por SUNAT - Impuesto General a las Ventas interno según departamento - Moquegua (millones de soles);Ingresos tributarios recaudados por SUNAT - Impuesto General a las Ventas interno según departamento - Pasco (millones de soles);Ingresos tributarios recaudados por SUNAT - Impuesto General a las Ventas interno según departamento - Piura (millones de soles);Ingresos tributarios recaudados por SUNAT - Impuesto General a las Ventas interno según departamento - Puno (millones de soles);Ingresos tributarios recaudados por SUNAT - Impuesto General a las Ventas interno según departamento - San Martín (millones de soles);Ingresos tributarios recaudados por SUNAT - Impuesto General a las Ventas interno según departamento - Tacna (millones de soles);Ingresos tributarios recaudados por SUNAT - Impuesto General a las Ventas interno según departamento - Tumbes (millones de soles);Ingresos tributarios recaudados por SUNAT - Impuesto General a las Ventas interno según departamento - Ucayali (millones de soles);Ingresos tributarios recaudados por SUNAT - Impuesto General a las Ventas interno según departamento - Total (millones de soles)
1/01/1994;0.021313;1.444937;0.018105;11.212857;0.055688;0.886996;5.51203;1.438365;0.063004;0.216018;3.438425;1.808152;5.337217;2.720857;225.713941;1.51627;1.618597;0.04484;0.320701;0.167151;3.137145;0.383545;0.238176;1.598698;0.152448;0.674977;269.740453
1/02/1994;0.013552;2.172829;0.015502;8.90829;0.08098;0.79305;4.45767;1.559602;0.07378;0.239591;2.498109;0.941202;5.219079;2.739332;225.650608;1.543859;1.480696;0.046108;0.281213;0.128934;3.411628;0.350032;0.320485;1.284991;0.14429;0.59248;264.947892
1/03/1994;0.023139;2.979806;0.026052;11.0253;0.099798;0.723771;3.602403;1.602633;0.076425;0.207141;2.227488;2.938118;8.600371;2.983348;199.416689;1.543366;1.651229;0.035257;0.534495;0.121374;2.724145;0.594029;0.216363;1.871285;0.116375;0.852188;246.792588
1/04/1994;0.031054;2.938853;0.025097;9.206041;0.113859;0.772894;4.080389;1.288065;0.083258;0.396527;3.390135;1.434152;6.973078;2.504174;239.617174;1.376324;0.737955;0.023231;1.147166;0.13607;2.83228;0.410685;0.259617;1.946052;0.207372;0.368975;282.300477
1/05/1994;0.017443;3.266749;0.024485;14.68857;0.132166;0.732942;3.537287;1.446881;0.09231;0.268516;3.631213;2.138757;7.331798;2.74486;232.891698;1.762656;0.436332;0.035391;0.384614;0.166855;3.332261;0.497236;0.331732;1.118777;0.100981;0.481329;281.593839
1/06/1994;0.020386;2.312897;0.03504;11.552716;0.123341;0.803046;4.399983;1.187137;0.104268;0.266165;3.10674;2.443958;7.314493;3.291462;219.982837;2.325976;0.970596;0.052134;0.556137;0.156882;3.698635;0.364573;0.523927;1.610621;0.128865;0.412886;267.745701
1/07/1994;0.018854;2.937942;0.039829;11.041114;0.114339;1.115848;4.234084;2.130661;0.103794;0.274685;3.307107;2.429951;10.344823;3.61031;224.315757;2.311154;0.823644;0.039529;0.280226;0.214499;3.536344;0.525401;0.164133;1.688183;0.099734;0.546582;276.248527
1/08/1994;0.026549;2.481854;0.040098;14.620344;0.172983;0.840406;4.084317;2.261598;0.123849;0.25747;2.890862;3.687808;10.698924;4.002509;279.677147;2.138788;0.77514;0.035102;0.519448;0.198288;4.15987;0.688744;0.321158;1.811232;0.156044;0.681545;337.352077
1/09/1994;0.023302;3.691404;0.044251;13.340475;0.187559;1.062718;3.983991;2.148107;0.143802;0.220747;3.543425;3.531603;9.051045;4.790046;257.750543;2.105897;1.231952;0.11817;1.023693;0.154528;4.629381;0.98228;0.199763;2.300563;0.240563;0.856479;317.356287
1/10/1994;0.032579;4.092133;0.044318;13.566785;0.180033;1.061876;4.281488;2.15599;0.120633;0.264753;3.756815;2.818216;10.173333;4.008054;260.879594;1.503277;1.207496;0.090167;0.672658;0.208065;6.634434;1.10715;0.247604;1.531322;0.248795;1.157523;322.045091
