FECHA;Ingresos tributarios recaudados por SUNAT - impuesto a la renta según departamento - Amazonas (millones de soles);Ingresos tributarios recaudados por SUNAT - impuesto a la renta según departamento - Ancash (millones de soles);Ingresos tributarios recaudados por SUNAT - impuesto a la renta según departamento - Apurimac (millones de soles);Ingresos tributarios recaudados por SUNAT - impuesto a la renta según departamento - Arequipa (millones de soles);Ingresos tributarios recaudados por SUNAT - impuesto a la renta según departamento - Ayacucho (millones de soles);Ingresos tributarios recaudados por SUNAT - impuesto a la renta según departamento - Cajamarca (millones de soles);Ingresos tributarios recaudados por SUNAT - impuesto a la renta según departamento - Callao (millones de soles);Ingresos tributarios recaudados por SUNAT - impuesto a la renta según departamento - Cusco (millones de soles);Ingresos tributarios recaudados por SUNAT - impuesto a la renta según departamento - Huancavelica (millones de soles);Ingresos tributarios recaudados por SUNAT - impuesto a la renta según departamento - Huánuco (millones de soles);Ingresos tributarios recaudados por SUNAT - impuesto a la renta según departamento - Ica (millones de soles);Ingresos tributarios recaudados por SUNAT - impuesto a la renta según departamento - Junín (millones de soles);Ingresos tributarios recaudados por SUNAT - impuesto a la renta según departamento - La Libertad (millones de soles);Ingresos tributarios recaudados por SUNAT - impuesto a la renta según departamento - Lambayeque (millones de soles);Ingresos tributarios recaudados por SUNAT - impuesto a la renta según departamento - Lima Metropolitana (millones de soles);Ingresos tributarios recaudados por SUNAT - impuesto a la renta según departamento - Lima provincias (millones de soles);Ingresos tributarios recaudados por SUNAT - impuesto a la renta según departamento - Loreto (millones de soles);Ingresos tributarios recaudados por SUNAT - impuesto a la renta según departamento - Madre de Dios (millones de soles);Ingresos tributarios recaudados por SUNAT - impuesto a la renta según departamento - Moquegua (millones de soles);Ingresos tributarios recaudados por SUNAT - impuesto a la renta según departamento - Pasco (millones de soles);Ingresos tributarios recaudados por SUNAT - impuesto a la renta según departamento - Piura (millones de soles);Ingresos tributarios recaudados por SUNAT - impuesto a la renta según departamento - Puno (millones de soles);Ingresos tributarios recaudados por SUNAT - impuesto a la renta según departamento - San Martín (millones de soles);Ingresos tributarios recaudados por SUNAT - impuesto a la renta según departamento - Tacna (millones de soles);Ingresos tributarios recaudados por SUNAT - impuesto a la renta según departamento - Tumbes (millones de soles);Ingresos tributarios recaudados por SUNAT - impuesto a la renta según departamento - Ucayali (millones de soles);Ingresos tributarios recaudados por SUNAT - impuesto a la renta según departamento - Total (millones de soles)
1/01/1994;0.021706;1.315174;0.012327;5.161418;0.093513;0.193468;1.807769;0.557218;0.031655;0.164035;1.626722;0.697445;3.721797;1.787599;171.101924;0.757817;1.026417;0.034225;0.550182;0.136893;2.539346;0.16896;0.301645;0.502238;0.08261;0.506963;194.901066
1/02/1994;0.051043;1.540987;0.016837;5.878218;0.103071;0.215777;1.865319;0.631896;0.019378;0.135862;1.757202;0.671476;3.31044;1.732322;123.33157;0.667301;1.066513;0.033354;0.408544;0.050723;2.263766;0.224039;0.302835;3.016214;0.084223;0.308151;149.687061
1/03/1994;0.050894;1.784537;0.026478;7.340531;0.101074;0.254763;1.943454;0.922972;0.026697;0.235296;1.77709;1.013022;4.118638;2.016765;135.589288;0.944738;1.17585;0.037173;0.298553;0.064788;2.355131;0.265801;0.327409;4.383031;0.249182;0.365151;167.668306
1/04/1994;0.102083;3.303222;0.067632;13.152762;0.219081;1.528754;6.771125;2.535487;0.041067;0.369801;2.831926;2.211863;6.743938;3.587225;311.956627;2.085746;3.635024;0.094473;0.835137;0.136352;4.949742;0.669612;0.645581;3.777121;0.417623;0.718226;373.38723
1/05/1994;0.087008;1.796657;0.038572;6.601385;0.116501;0.411717;2.717655;1.049758;0.039432;0.206233;2.949012;1.282812;4.137973;1.837718;157.372395;1.328858;1.347935;0.043496;0.449076;0.071005;3.011662;0.386017;0.410932;2.340704;0.135593;0.32386;190.493966
1/06/1994;0.088544;2.047682;0.051584;6.857856;0.124545;0.414659;2.439288;1.19419;0.037279;0.211757;1.972988;1.148799;3.668477;2.934099;139.44801;1.134226;1.396246;0.073573;0.436153;0.096016;2.477204;0.360873;0.399147;2.727543;0.135853;0.371419;172.24801
1/07/1994;0.084163;2.170103;0.056294;7.275138;0.13682;0.495096;2.278432;1.273294;0.031108;0.205978;2.161099;1.253336;4.526121;2.06669;141.655448;1.037858;1.15871;0.053219;0.361123;0.097878;2.628882;0.371572;0.429044;2.701179;0.154906;0.390551;175.054042
1/08/1994;0.076579;1.904238;0.061095;8.77584;0.165942;0.545451;2.437076;1.538812;0.050092;0.232499;2.616626;1.580621;4.782963;2.248437;169.387032;1.11891;1.366211;0.06137;0.368589;0.174427;2.934484;0.511603;0.421266;4.941697;0.145988;0.486783;208.934631
1/09/1994;0.091568;1.934033;0.054861;8.359515;0.156011;0.566461;2.378583;1.612045;0.050684;0.232307;2.774463;1.819902;5.430001;2.421952;173.846146;1.168911;1.64293;0.063477;0.344243;0.123254;3.086098;0.536395;0.510101;2.892272;0.175761;0.549754;212.821728
1/10/1994;0.092672;1.411171;0.055421;8.418445;0.185296;0.552809;2.501216;1.552277;0.040083;0.28027;2.133505;1.717417;5.077306;2.384137;167.746693;1.131647;1.455419;0.073795;0.382859;0.116178;3.25508;0.603533;0.513798;2.61309;0.159911;0.665921;205.119949
1/11/1994;0.09228;2.209011;0.079613;8.015107;0.222206;0.619116;2.57939;1.629987;0.041126;0.269206;2.562373;1.821288;4.992854;2.526557;183.213688;1.191179;1.399733;0.090349;0.457394;0.143195;3.077989;0.712737;0.694252;3.233537;0.17173;0.67579;222.721687
1/12/1994;0.096907;3.251438;0.069038;9.280191;0.187775;0.596355;2.744639;1.746829;0.05472;0.555675;2.537675;1.828877;5.570161;3.097586;209.436456;1.247015;1.467553;0.092229;0.467342;0.168331;3.429819;0.708655;0.595011;2.587313;0.157729;0.712372;252.687691
1/01/1995;0.10565503;3.67994597;0.09632595;11.02354371;0.2395886;0.75833242;3.2750031;2.08081234;0.0842525;0.61077034;3.07901055;1.88625194;6.96016911;3.27714107;240.0418395;1.60394094;1.83865576;0.10883716;0.76270065;0.30983961;4.16776517;0.93708876;0.81452984;4.52161087;0.25838195;1.01399694;293.5359897
1/02/1995;0.11289516;2.50348037;0.08255257;8.53552239;0.2018408;0.55273103;2.08256025;1.52841385;0.05076065;0.53088524;2.45930792;1.66172773;5.6922633;2.53098975;174.8836872;1.37033822;1.82018833;0.1097697;0.66616963;0.11097811;3.56528208;0.61894302;0.57916288;3.27237008;0.2338628;0.90141142;216.6580945
1/03/1995;0.11451679;2.38443377;0.088223;9.0418401;0.23241402;0.63337154;3.33674614;2.50065434;0.06358495;0.64801974;2.9371857;3.14095697;6.47567392;3.33109375;238.5763935;1.51941746;2.44841964;0.1342432;0.72523641;0.19944359;4.16221603;0.90012728;0.5434867;25.96379609;0.28907284;1.36939469;311.7599622
1/04/1995;0.16655977;4.18994993;0.15801439;31.57997298;0.67825558;5.16630893;5.0887991;4.01974193;0.07600893;0.68931529;5.52036074;2.90992414;17.80617468;4.03004508;424.6279067;2.94812375;4.48794156;0.32975146;1.32195347;0.36805026;9.3366046;1.14332115;1.42021473;4.57936609;0.44170137;2.21175419;535.2961208
1/05/1995;0.09396087;1.96167912;0.13078827;9.92849794;0.23324484;0.66959459;2.1518088;2.36562093;0.06119289;0.44395305;2.49458397;1.8799414;6.2181492;2.47989429;202.5636434;1.34365002;1.88680144;0.11285471;0.57819767;0.18481563;4.70465433;0.80705146;1.07732267;4.68872963;0.42102509;1.21838646;250.7000427
1/06/1995;0.095799;2.21617795;0.11184793;9.82562594;0.23414716;0.64121066;2.32599568;2.05569138;0.0977525;0.46539755;3.23441419;1.79517152;6.50984887;2.49441997;192.3997295;1.28108466;2.13655279;0.12260305;0.64919302;0.1498337;4.38427447;0.70156699;0.9082772;3.51207664;0.36074514;1.11544932;239.8248867
1/07/1995;0.10712129;2.47368722;0.14219995;12.37879358;0.34001371;1.57500757;2.17132744;4.68814595;0.0656656;0.48802322;2.59993143;1.8290007;6.03499466;3.01719064;185.6048672;1.43369205;1.93982404;0.11390876;0.580167;0.15663681;4.37270047;0.74143084;0.668276;3.48927165;0.34996115;1.02967485;238.3915138
